Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Društvo,246,Ekstraktivna,1.4828,0.1562,0.069,0.0702,0.0,0.0702,0.6474
Društvo,246,Apstraktivna,1.9545,0.0312,0.0,1.0,1.0,1.0,1.0
Društvo,246,ChatGPT,3.5833,0.125,0.1667,0.0513,0.0,0.0513,0.6519
Društvo,246,Gemini,2.2632,0.2188,0.2105,0.0851,0.0,0.0851,0.6296
Društvo,246,Claude,3.3077,0.0,0.0,0.1463,0.0,0.0976,0.6922
Društvo,247,Ekstraktivna,1.4,0.4762,0.4,0.087,0.0,0.087,0.6566
Društvo,247,Apstraktivna,2.6923,0.0476,0.1538,1.0,1.0,1.0,1.0
Društvo,247,ChatGPT,3.5,0.1429,0.0,0.0,0.0,0.0,0.6367
Društvo,247,Gemini,2.5,0.2857,0.2857,0.1765,0.0,0.1765,0.6679
Društvo,247,Claude,4.375,0.0952,0.25,0.0,0.0,0.0,0.6627
Društvo,248,Ekstraktivna,1.1667,0.2273,0.0833,0.2326,0.0488,0.186,0.6479
Društvo,248,Apstraktivna,1.8667,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,248,ChatGPT,2.5455,0.0455,0.0,0.2,0.0,0.1333,0.6925
Društvo,248,Gemini,1.75,0.0455,0.0,0.0588,0.0,0.0588,0.6187
Društvo,248,Claude,2.5455,0.0,0.0,0.2759,0.0,0.2069,0.7238
Društvo,249,Ekstraktivna,2.0588,0.24,0.2353,0.0556,0.0,0.0556,0.6382
Društvo,249,Apstraktivna,2.5,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,249,ChatGPT,3.5,0.12,0.2,0.069,0.0,0.069,0.6415
Društvo,249,Gemini,1.8421,0.28,0.4211,0.0,0.0,0.0,0.586
Društvo,249,Claude,3.1818,0.0,0.0,0.1379,0.0,0.069,0.7069
Društvo,250,Ekstraktivna,1.0714,0.3,0.2143,0.1277,0.0,0.0851,0.6864
Društvo,250,Apstraktivna,2.1429,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,250,ChatGPT,2.5,0.15,0.3333,0.1429,0.0,0.1429,0.6886
Društvo,250,Gemini,2.0,0.15,0.1333,0.25,0.0,0.1875,0.6755
Društvo,250,Claude,2.7273,0.05,0.0,0.2222,0.0,0.2222,0.7493
Društvo,251,Ekstraktivna,0.8571,0.087,0.0571,0.1034,0.0,0.1034,0.6431
Društvo,251,Apstraktivna,2.0,0.0435,0.0,1.0,1.0,1.0,1.0
Društvo,251,ChatGPT,2.3077,0.1739,0.3077,0.129,0.069,0.129,0.6813
Društvo,251,Gemini,1.875,0.1304,0.0,0.1111,0.0,0.0556,0.6691
Društvo,251,Claude,2.7273,0.0,0.0,0.2143,0.0,0.1429,0.6831
Društvo,252,Ekstraktivna,1.0769,0.24,0.1538,0.1224,0.0426,0.1224,0.696
Društvo,252,Apstraktivna,1.8667,0.04,0.0,1.0,1.0,1.0,1.0
Društvo,252,ChatGPT,1.8667,0.0,0.0,0.1176,0.0,0.1176,0.7025
Društvo,252,Gemini,1.8667,0.24,0.0,0.1765,0.0,0.1176,0.6746
Društvo,252,Claude,2.8,0.08,0.2,0.2143,0.0,0.1429,0.7426
Društvo,253,Ekstraktivna,1.381,0.2,0.0952,0.1622,0.0,0.1622,0.6912
Društvo,253,Apstraktivna,2.0714,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,253,ChatGPT,2.0714,0.15,0.0,0.0645,0.0,0.0645,0.691
Društvo,253,Gemini,1.9333,0.05,0.2667,0.1333,0.0,0.1333,0.6453
Društvo,253,Claude,2.2308,0.0,0.0,0.0714,0.0,0.0714,0.7138
Društvo,254,Ekstraktivna,0.9375,0.25,0.125,0.0328,0.0,0.0328,0.5848
Društvo,254,Apstraktivna,1.7647,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,254,ChatGPT,2.0,0.4,0.2667,0.093,0.0,0.0465,0.6235
Društvo,254,Gemini,1.875,0.1,0.0,0.0,0.0,0.0,0.5741
Društvo,254,Claude,2.7273,0.0,0.0,0.1081,0.0,0.0541,0.6431
Društvo,255,Ekstraktivna,1.2593,0.3,0.1481,0.12,0.0417,0.08,0.6423
Društvo,255,Apstraktivna,2.125,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,255,ChatGPT,1.7895,0.3,0.3158,0.1053,0.0,0.1053,0.6689
Društvo,255,Gemini,2.125,0.25,0.25,0.0526,0.0,0.0526,0.6478
Društvo,255,Claude,3.0909,0.0,0.0,0.0645,0.0,0.0645,0.6688
Društvo,256,Ekstraktivna,1.037,0.0417,0.0,0.0714,0.0,0.0714,0.6577
Društvo,256,Apstraktivna,1.5556,0.0,0.0,1.0,1.0,1.0,1.0
Društvo,256,ChatGPT,1.75,0.125,0.125,0.0952,0.0,0.0476,0.7039
Društvo,256,Gemini,2.5455,0.0833,0.1818,0.0,0.0,0.0,0.6219
Društvo,256,Claude,1.8667,0.0,0.0,0.0976,0.0,0.0976,0.6732
Društvo,257,Ekstraktivna,1.2424,0.2174,0.2424,0.1132,0.0392,0.1132,0.6509
Društvo,257,Apstraktivna,2.4118,0.087,0.1176,1.0,1.0,1.0,1.0
Društvo,257,ChatGPT,2.1579,0.3478,0.4211,0.1053,0.0,0.1053,0.7227
Društvo,257,Gemini,2.1579,0.2609,0.7368,0.0,0.0,0.0,0.5679
Društvo,257,Claude,3.4167,0.0,0.0,0.129,0.0,0.129,0.6785
Društvo,258,Ekstraktivna,1.4194,0.2353,0.3226,0.2333,0.0345,0.2,0.6764
Društvo,258,Apstraktivna,2.5882,0.1176,0.1176,1.0,1.0,1.0,1.0
Društvo,258,ChatGPT,2.0952,0.2941,0.2857,0.32,0.125,0.28,0.6929
Društvo,258,Gemini,2.3158,0.2059,0.3158,0.1304,0.0,0.087,0.6341
Društvo,258,Claude,3.3846,0.0294,0.0,0.1579,0.0556,0.1053,0.7041
Društvo,259,Ekstraktivna,1.8636,0.3125,0.0909,0.0909,0.0,0.0909,0.6553
Društvo,259,Apstraktivna,2.4118,0.0312,0.0,1.0,1.0,1.0,1.0
Društvo,259,ChatGPT,1.9524,0.2188,0.1905,0.1395,0.0,0.1395,0.6852
Društvo,259,Gemini,2.9286,0.3125,0.2857,0.0541,0.0,0.0541,0.6504
Društvo,259,Claude,4.1,0.0,0.0,0.1212,0.0,0.1212,0.7067
Društvo,260,Ekstraktivna,1.5,0.2162,0.1333,0.0667,0.0,0.0667,0.6737
Društvo,260,Apstraktivna,2.25,0.0541,0.0,1.0,1.0,1.0,1.0
Društvo,260,ChatGPT,2.5,0.2162,0.4444,0.1277,0.0,0.0851,0.6965
Društvo,260,Gemini,2.5,0.1622,0.2222,0.1277,0.0444,0.0851,0.6513
Društvo,260,Claude,4.5,0.027,0.0,0.0541,0.0,0.0541,0.6916
Društvo,261,Ekstraktivna,1.8667,0.1892,0.1333,0.1111,0.0,0.0741,0.665
Društvo,261,Apstraktivna,3.5,0.027,0.0,1.0,1.0,1.0,1.0
Društvo,261,ChatGPT,2.8,0.1892,0.2,0.0952,0.0,0.0476,0.6699
Društvo,261,Gemini,2.24,0.2432,0.32,0.0417,0.0,0.0417,0.6567
Društvo,261,Claude,5.0909,0.0,0.0,0.2581,0.069,0.129,0.7304
Društvo,262,Ekstraktivna,1.2414,0.32,0.1379,0.1818,0.0377,0.1455,0.6636
Društvo,262,Apstraktivna,1.8947,0.2,0.1053,1.0,1.0,1.0,1.0
Društvo,262,ChatGPT,1.5652,0.24,0.087,0.1333,0.0465,0.1333,0.6898
Društvo,262,Gemini,1.8947,0.36,0.2105,0.1429,0.0,0.0952,0.6864
Društvo,262,Claude,3.6,0.04,0.0,0.0606,0.0,0.0606,0.6353
Društvo,263,Ekstraktivna,1.5714,0.3871,0.3571,0.1667,0.0435,0.125,0.7015
Društvo,263,Apstraktivna,2.9333,0.0645,0.0,1.0,1.0,1.0,1.0
Društvo,263,ChatGPT,2.4444,0.2903,0.3333,0.2632,0.0556,0.1579,0.6859
Društvo,263,Gemini,2.2,0.3548,0.5,0.1026,0.0,0.1026,0.6422
Društvo,263,Claude,4.4,0.0323,0.0,0.1379,0.0,0.1379,0.6794
Društvo,264,Ekstraktivna,1.6765,0.4783,0.8824,0.1111,0.0,0.0741,0.6127
Društvo,264,Apstraktivna,3.5625,0.0435,0.0,1.0,1.0,1.0,1.0
Društvo,264,ChatGPT,2.7143,0.2174,0.2857,0.0976,0.0,0.0976,0.6805
Društvo,264,Gemini,1.6765,0.3043,0.8235,0.0,0.0,0.0,0.5916
