Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Biznis,385,Claude,2.2727,0.1579,0.1818,0.0,0.0,0.0,0.6801
Biznis,386,Ekstraktivna,0.2059,0.8333,0.1176,0.3797,0.1818,0.3544,0.7783
Biznis,386,Apstraktivna,0.1892,0.6667,0.0541,1.0,1.0,1.0,1.0
Biznis,386,ChatGPT,0.2414,0.0,0.0,0.2192,0.0,0.1918,0.7296
Biznis,386,Gemini,0.1,0.8333,0.0571,0.3577,0.1157,0.2602,0.7602
Biznis,386,Claude,0.1458,0.0,0.0,0.2424,0.0206,0.1414,0.703
Biznis,387,Ekstraktivna,0.2308,0.0,0.0,0.4118,0.1212,0.3529,0.7495
Biznis,387,Apstraktivna,0.2069,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,387,ChatGPT,0.3333,0.0,0.0,0.2903,0.0667,0.1613,0.7576
Biznis,387,Gemini,0.15,0.2,0.0,0.4773,0.1395,0.2273,0.7409
Biznis,387,Claude,0.1935,0.2,0.0,0.1558,0.0,0.0779,0.6933
Biznis,388,Ekstraktivna,0.2188,0.6,0.125,0.2414,0.0714,0.2069,0.745
Biznis,388,Apstraktivna,0.3182,0.2,0.0909,1.0,1.0,1.0,1.0
Biznis,388,ChatGPT,0.3684,0.2,0.0,0.1277,0.0,0.0851,0.6847
Biznis,388,Gemini,0.1346,0.6,0.0769,0.3291,0.1818,0.3291,0.722
Biznis,388,Claude,0.2333,0.2,0.0,0.1695,0.0,0.1356,0.6957
Biznis,389,Ekstraktivna,4.0698,0.1858,0.4651,0.2558,0.0238,0.186,0.7139
Biznis,389,Apstraktivna,5.8333,0.0531,0.0667,1.0,1.0,1.0,1.0
Biznis,389,ChatGPT,8.3333,0.0442,0.1905,0.2712,0.0702,0.2373,0.7194
Biznis,389,Gemini,3.1818,0.1593,0.3273,0.3505,0.1053,0.2474,0.7128
Biznis,389,Claude,5.4688,0.0442,0.0,0.1818,0.0267,0.1558,0.6904
Biznis,390,Ekstraktivna,4.2941,0.2436,0.5294,0.3881,0.2462,0.3881,0.7757
Biznis,390,Apstraktivna,5.4074,0.1667,0.4444,1.0,1.0,1.0,1.0
Biznis,390,ChatGPT,5.6154,0.0641,0.2308,0.3214,0.2222,0.3214,0.7379
Biznis,390,Gemini,4.0556,0.1667,0.2778,0.4286,0.1765,0.3143,0.7434
Biznis,390,Claude,3.9459,0.0769,0.1081,0.2857,0.0294,0.2,0.709
Biznis,391,Ekstraktivna,13.1622,0.0593,0.4324,0.2989,0.0235,0.2069,0.7057
Biznis,391,Apstraktivna,13.5278,0.0277,0.1667,1.0,1.0,1.0,1.0
Biznis,391,ChatGPT,16.7931,0.0277,0.1379,0.1818,0.0,0.1299,0.6919
Biznis,391,Gemini,11.3256,0.0395,0.093,0.2921,0.0,0.2022,0.6982
Biznis,391,Claude,11.0682,0.0119,0.0,0.2697,0.023,0.1798,0.7025
Biznis,392,Ekstraktivna,14.4186,0.0523,0.1395,0.175,0.0513,0.125,0.6555
Biznis,392,Apstraktivna,22.1429,0.0145,0.0714,1.0,1.0,1.0,1.0
Biznis,392,ChatGPT,26.9565,0.0145,0.087,0.2373,0.1053,0.2034,0.7194
Biznis,392,Gemini,17.7143,0.0349,0.0571,0.1667,0.0,0.1389,0.6692
Biznis,392,Claude,23.8462,0.0116,0.0,0.1967,0.0,0.1639,0.6749
Biznis,393,Ekstraktivna,7.075,0.0764,0.2,0.1644,0.0282,0.137,0.6617
Biznis,393,Apstraktivna,11.32,0.0446,0.08,1.0,1.0,1.0,1.0
Biznis,393,ChatGPT,14.8947,0.0064,0.1053,0.2449,0.0426,0.2041,0.728
Biznis,393,Gemini,10.1071,0.0127,0.0714,0.1695,0.0,0.1017,0.6571
Biznis,393,Claude,12.3043,0.0064,0.0,0.1132,0.0,0.1132,0.6655
Biznis,394,Ekstraktivna,0.7027,0.1333,0.0,0.2778,0.0571,0.2222,0.6732
Biznis,394,Apstraktivna,0.963,0.4,0.0741,1.0,1.0,1.0,1.0
Biznis,394,ChatGPT,1.3,0.1333,0.0,0.3051,0.1053,0.2712,0.7487
