Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,100,Claude,16.8824,0.0123,0.0,0.1111,0.0,0.037,0.6829
Politika,101,Ekstraktivna,9.7778,0.0825,0.2222,0.137,0.0,0.1096,0.6649
Politika,101,Apstraktivna,16.0,0.0155,0.0,1.0,1.0,1.0,1.0
Politika,101,ChatGPT,17.6,0.0155,0.0,0.04,0.0,0.04,0.6655
Politika,101,Gemini,17.6,0.0155,0.2,0.0833,0.0,0.0833,0.6372
Politika,101,Claude,23.4667,0.0,0.1333,0.0952,0.0,0.0952,0.6874
Politika,102,Ekstraktivna,3.8,0.2258,0.4,0.2373,0.0351,0.2034,0.6877
Politika,102,Apstraktivna,5.1818,0.0484,0.0909,1.0,1.0,1.0,1.0
Politika,102,ChatGPT,5.7,0.0,0.0,0.087,0.0,0.087,0.6755
Politika,102,Gemini,6.0,0.0968,0.3158,0.1277,0.0444,0.1277,0.6806
Politika,102,Claude,6.7059,0.0161,0.0,0.0976,0.0,0.0488,0.6736
Politika,103,Ekstraktivna,7.0,0.104,0.4138,0.1,0.0,0.0667,0.6487
Politika,103,Apstraktivna,9.2273,0.024,0.0909,1.0,1.0,1.0,1.0
Politika,103,ChatGPT,15.6154,0.048,0.3077,0.0526,0.0,0.0526,0.667
Politika,103,Gemini,11.2778,0.024,0.1111,0.1364,0.0,0.1364,0.6468
Politika,103,Claude,13.5333,0.008,0.0,0.0,0.0,0.0,0.6719
Politika,104,Ekstraktivna,17.5,0.0419,0.25,0.0741,0.0,0.0494,0.6642
Politika,104,Apstraktivna,44.2105,0.0209,0.1053,1.0,1.0,1.0,1.0
Politika,104,ChatGPT,32.3077,0.014,0.0769,0.1455,0.0,0.0727,0.6721
Politika,104,Gemini,49.4118,0.0163,0.0,0.2917,0.087,0.2083,0.7004
Politika,104,Claude,60.0,0.0023,0.0,0.15,0.0526,0.1,0.7294
Politika,105,Ekstraktivna,3.5429,0.2055,0.4,0.1875,0.0645,0.1562,0.6939
Politika,105,Apstraktivna,5.6364,0.0274,0.0909,1.0,1.0,1.0,1.0
Politika,105,ChatGPT,6.5263,0.0822,0.3158,0.1304,0.0455,0.1304,0.7172
Politika,105,Gemini,8.2667,0.0411,0.2667,0.1463,0.0,0.0976,0.6789
